delivery_id,driver_id,origin_city,destination_city,expected_time_for_delivery,actual_time_for_delivery,distance_km,actual_distance_km,loop_count,route_similarity_score,weather_condition_severity,traffic_congestion_level,driver_rating_and_credibility,order_fulfilled,destination_reached,origin_lat,origin_lon,destination_lat,destination_lon,marked_as_suspicious,fraud_type,delay_ratio,distance_ratio
DEL-001,D1005,Detroit,New York,701.1766666666666,1440.0,997.7804,1173.3926999999999,2,0.23440555076644148,0.7588073671297673,0.15965931637689013,2.702123349755316,0,1,42.3314,-83.0458,40.7128,-74.006,1,ghost_delivery,2.053690700869491,1.176002956161496
DEL-002,D1000,Seattle,Houston,2469.913333333333,1177.3795576598602,3723.2506000000003,3670.0147,1,0.07678704776963377,0.45942487967184253,0.12482616285320935,1.8280609469098406,0,0,47.6062,-122.3321,29.7604,-95.3698,1,ghost_delivery,0.47668861160844794,0.9857017682344562
DEL-003,D1005,Austin,Miami,1475.6383333333333,1440.0,2170.0327,2469.25,5,0.10484484657340387,0.8553177210151469,0.8664836667552697,3.32638977754372,1,1,30.2672,-97.7431,25.7617,-80.1918,1,time_waster,0.9758488699240894,1.1378860788595488
DEL-004,D1002,Miami,Atlanta,723.7,812.3315733698877,1064.2844,1280.8537999999992,5,0.10123584300140238,0.171138648198097,0.7291267979503492,2.3239373921411337,0,1,25.7617,-80.1918,33.749,-84.388,1,ghost_delivery,1.1224700474918994,1.2034882781331748
DEL-005,D1006,San Francisco,San Diego,569.2883333333334,663.3657635642861,807.9449000000001,841.0203,2,0.5663285600583863,0.40116478702232894,0.06618860521154724,3.998462518984555,1,1,37.7749,-122.4194,32.7157,-117.1611,0,legitimate,1.1652544496742179,1.0409376926570115
DEL-006,D1001,Las Vegas,Phoenix,359.05833333333334,179.24110615721412,459.9,498.1969,1,0.8129257660032714,0.5835329249456562,0.36199644371361095,1.7642894405146967,0,0,36.1699,-115.1398,33.4484,-112.074,1,ghost_delivery,0.4991977333967483,1.083272233094151
DEL-007,D2006,Chicago,Los Angeles,2127.915,1440.0,3247.1164,3462.3265,2,0.07553831508722542,0.38476731167450007,0.5958884283611281,3.165294053136342,0,1,41.8781,-87.6298,34.0522,-118.2437,1,ghost_delivery,0.6767187599128724,1.0662772976047303
DEL-008,D1004,New York,Phoenix,2648.076666666667,1440.0,3880.9972000000002,3880.9972000000002,0,1.0,0.34017547303104523,0.29350012864742614,2.4307238912816205,0,1,40.7128,-74.006,33.4484,-112.074,1,ghost_delivery,0.543790902327853,1.0
DEL-009,D1004,Dallas,San Francisco,1838.3116666666667,1440.0,2784.0004,2784.0004,0,1.0,0.2984447914486329,0.6389494948660052,3.3230980715063065,0,1,32.7767,-96.797,37.7749,-122.4194,1,ghost_delivery,0.7833274553553214,1.0
DEL-010,D1003,Detroit,New York,701.1766666666666,1440.0,997.7804,2031.917,4,0.04252832288611247,0.30751412540266143,0.05792516649418755,2.1027841424814544,1,1,42.3314,-83.0458,40.7128,-74.006,1,route_padder,2.053690700869491,2.0364370757332977
DEL-011,D1001,Chicago,Washington DC,787.2866666666666,320.3944098884145,1121.1804,1176.376799999999,2,0.08339344203010293,0.9289134930021768,0.7552651966358055,1.5984884499961436,0,0,41.8781,-87.6298,38.9072,-77.0369,1,ghost_delivery,0.4069602896298864,1.0492306144488426
DEL-012,D2011,Miami,Portland,3465.1716666666666,1440.0,5250.367,5250.367,0,1.0,0.24790561366600794,0.06402589632634492,1.8826601716155267,1,1,25.7617,-80.1918,45.5152,-122.6784,1,ghost_delivery,0.4155638272851321,1.0
